from_id,to_id,direction,demand(veh/h)
2,12,1,60
2,12,-1,60
2,1,1,60
2,1,-1,60
2,11,1,60
2,11,-1,60
2,7,1,60
2,7,-1,60
2,0,1,60
2,0,-1,60
2,10,1,60
2,10,-1,60
2,8,1,60
2,8,-1,60
2,5,1,60
2,5,-1,60
2,4,1,60
2,4,-1,60
12,2,1,60
12,2,-1,60
12,1,1,60
12,1,-1,60
12,11,1,60
12,11,-1,60
12,7,1,60
12,7,-1,60
12,0,1,60
12,0,-1,60
12,10,1,60
12,10,-1,60
12,8,1,60
12,8,-1,60
12,5,1,60
12,5,-1,60
12,4,1,60
12,4,-1,60
1,2,1,60
1,2,-1,60
1,12,1,60
1,12,-1,60
1,11,1,60
1,11,-1,60
1,7,1,60
1,7,-1,60
1,0,1,60
1,0,-1,60
1,10,1,60
1,10,-1,60
1,8,1,60
1,8,-1,60
1,5,1,60
1,5,-1,60
1,4,1,60
1,4,-1,60
11,2,1,60
11,2,-1,60
11,12,1,60
11,12,-1,60
11,1,1,60
11,1,-1,60
11,7,1,60
11,7,-1,60
11,0,1,60
11,0,-1,60
11,10,1,60
11,10,-1,60
11,8,1,60
11,8,-1,60
11,5,1,60
11,5,-1,60
11,4,1,60
11,4,-1,60
7,2,1,60
7,2,-1,60
7,12,1,60
7,12,-1,60
7,1,1,60
7,1,-1,60
7,11,1,60
7,11,-1,60
7,0,1,60
7,0,-1,60
7,10,1,60
7,10,-1,60
7,8,1,60
7,8,-1,60
7,5,1,60
7,5,-1,60
7,4,1,60
7,4,-1,60
0,2,1,60
0,2,-1,60
0,12,1,60
0,12,-1,60
0,1,1,60
0,1,-1,60
0,11,1,60
0,11,-1,60
0,7,1,60
0,7,-1,60
0,10,1,60
0,10,-1,60
0,8,1,60
0,8,-1,60
0,5,1,60
0,5,-1,60
0,4,1,60
0,4,-1,60
10,2,1,60
10,2,-1,60
10,12,1,60
10,12,-1,60
10,1,1,60
10,1,-1,60
10,11,1,60
10,11,-1,60
10,7,1,60
10,7,-1,60
10,0,1,60
10,0,-1,60
10,8,1,60
10,8,-1,60
10,5,1,60
10,5,-1,60
10,4,1,60
10,4,-1,60
8,2,1,60
8,2,-1,60
8,12,1,60
8,12,-1,60
8,1,1,60
8,1,-1,60
8,11,1,60
8,11,-1,60
8,7,1,60
8,7,-1,60
8,0,1,60
8,0,-1,60
8,10,1,60
8,10,-1,60
8,5,1,60
8,5,-1,60
8,4,1,60
8,4,-1,60
5,2,1,60
5,2,-1,60
5,12,1,60
5,12,-1,60
5,1,1,60
5,1,-1,60
5,11,1,60
5,11,-1,60
5,7,1,60
5,7,-1,60
5,0,1,60
5,0,-1,60
5,10,1,60
5,10,-1,60
5,8,1,60
5,8,-1,60
5,4,1,60
5,4,-1,60
4,2,1,60
4,2,-1,60
4,12,1,60
4,12,-1,60
4,1,1,60
4,1,-1,60
4,11,1,60
4,11,-1,60
4,7,1,60
4,7,-1,60
4,0,1,60
4,0,-1,60
4,10,1,60
4,10,-1,60
4,8,1,60
4,8,-1,60
4,5,1,60
4,5,-1,60
